iter	Passed	Remaining
0	138	138461
1	139	69492
2	140	46529
3	140	35011
4	141	28109
5	141	23509
6	142	20212
7	143	17742
8	143	15821
9	144	14286
10	144	13027
11	145	11993
12	146	11105
13	147	10401
14	148	9747
15	149	9169
16	149	8656
17	150	8200
18	151	7799
19	151	7443
20	152	7111
21	153	6810
22	153	6538
23	154	6287
24	155	6055
25	155	5841
26	156	5638
27	157	5452
28	157	5277
29	158	5116
30	159	4972
31	159	4832
32	160	4704
33	161	4586
34	162	4472
35	162	4363
36	163	4261
37	164	4169
38	165	4079
39	166	3988
40	166	3904
41	167	3823
42	168	3747
43	168	3670
44	169	3600
45	170	3531
46	170	3465
47	171	3403
48	172	3344
49	173	3289
50	173	3232
51	174	3178
52	174	3126
53	175	3073
54	176	3024
55	176	2976
56	177	2929
57	177	2886
58	178	2845
59	179	2805
60	179	2766
61	180	2729
62	180	2691
63	181	2655
64	182	2620
65	182	2586
66	183	2555
67	184	2526
68	185	2497
69	185	2468
70	186	2440
71	187	2411
72	187	2381
73	188	2353
74	188	2326
75	189	2298
76	189	2272
77	190	2248
78	190	2223
79	191	2201
80	192	2178
81	192	2157
82	193	2132
83	193	2112
84	194	2092
85	194	2072
86	195	2052
87	196	2032
88	196	2012
89	197	1993
90	197	1974
91	198	1956
92	198	1938
93	199	1919
94	199	1902
95	200	1885
96	200	1868
97	201	1851
98	201	1835
99	202	1819
100	202	1804
101	203	1789
102	203	1774
103	204	1759
104	204	1745
105	205	1732
106	205	1718
107	206	1704
108	206	1691
109	207	1678
110	207	1665
111	208	1653
112	209	1640
113	209	1628
114	210	1616
115	210	1604
116	210	1592
117	211	1581
118	212	1570
119	212	1558
120	213	1547
121	213	1536
122	213	1525
123	214	1514
124	214	1504
125	215	1495
126	215	1484
127	216	1474
128	216	1464
129	217	1454
130	217	1444
131	218	1434
132	218	1424
133	219	1415
134	219	1406
135	219	1396
136	220	1387
137	220	1378
138	221	1370
139	221	1362
140	222	1353
141	222	1344
142	222	1336
143	223	1327
144	223	1319
145	224	1311
146	224	1303
147	225	1295
148	225	1288
149	225	1280
150	226	1272
151	226	1265
152	227	1257
153	227	1251
154	228	1244
155	228	1237
156	229	1230
157	229	1224
158	230	1217
159	230	1210
160	230	1202
161	231	1196
162	231	1189
163	232	1183
164	232	1176
165	233	1170
166	233	1164
167	234	1159
168	234	1154
169	235	1148
170	235	1142
171	236	1136
172	236	1130
173	236	1124
174	237	1119
175	237	1113
176	238	1107
177	238	1102
178	239	1096
179	239	1091
180	239	1085
181	240	1080
182	240	1075
183	241	1070
184	241	1065
185	242	1060
186	242	1055
187	243	1050
188	243	1045
189	243	1040
190	244	1035
191	244	1030
192	245	1025
193	245	1021
194	246	1016
195	246	1012
196	247	1007
197	247	1003
198	248	998
199	248	994
200	249	989
201	249	985
202	250	981
203	250	977
204	250	973
205	251	968
206	251	964
207	252	960
208	252	956
209	253	953
210	253	949
211	254	945
212	254	941
213	255	937
214	255	933
215	256	929
216	256	925
217	256	921
218	257	917
219	257	913
220	258	910
221	258	906
222	259	902
223	259	899
224	260	896
225	260	892
226	261	888
227	261	885
228	261	881
229	262	878
230	262	875
231	263	871
232	263	868
233	264	864
234	264	861
235	264	857
236	265	854
237	265	851
238	266	848
239	266	845
240	267	842
241	267	838
242	268	835
243	268	832
244	269	829
245	269	825
246	269	822
247	270	819
248	270	816
249	271	813
250	271	810
251	272	808
252	272	805
253	273	802
254	273	799
255	273	796
256	274	793
257	274	790
258	275	787
259	275	784
260	276	782
261	276	780
262	277	777
263	277	774
264	278	772
265	278	769
266	279	767
267	279	764
268	280	761
269	280	759
270	281	756
271	281	753
272	282	751
273	282	748
274	282	745
275	283	743
276	283	740
277	284	738
278	284	735
279	285	733
280	285	730
281	285	728
282	286	725
283	286	722
284	287	720
285	287	718
286	288	715
287	288	713
288	288	710
289	289	708
290	289	706
291	290	704
292	291	702
293	291	700
294	292	697
295	292	695
296	292	693
297	293	691
298	293	688
299	294	686
300	294	684
301	295	682
302	295	679
303	296	677
304	296	675
305	297	673
306	297	671
307	298	669
308	298	667
309	298	665
310	299	663
311	299	661
312	300	659
313	300	657
314	301	655
315	301	652
316	302	650
317	302	648
318	303	646
319	303	645
320	304	643
321	304	641
322	305	639
323	305	637
324	306	635
325	306	633
326	307	631
327	307	629
328	307	627
329	308	625
330	308	624
331	309	622
332	309	620
333	310	618
334	310	617
335	311	615
336	311	613
337	312	611
338	312	609
339	312	607
340	313	605
341	313	603
342	314	601
343	314	600
344	315	598
345	315	596
346	316	594
347	316	592
348	316	591
349	317	589
350	317	587
351	318	586
352	318	584
353	319	582
354	319	581
355	320	579
356	320	577
357	321	575
358	321	574
359	322	572
360	322	571
361	323	569
362	323	568
363	324	567
364	325	565
365	325	563
366	325	562
367	326	560
368	326	559
369	327	557
370	327	556
371	328	554
372	329	553
373	329	551
374	329	549
375	330	548
376	330	546
377	331	545
378	331	543
379	332	542
380	332	540
381	333	539
382	333	537
383	334	536
384	334	534
385	335	533
386	335	531
387	336	530
388	336	528
389	336	526
390	337	525
391	337	523
392	338	522
393	338	520
394	338	519
395	339	517
396	339	516
397	340	514
398	340	513
399	341	512
400	341	510
401	342	509
402	342	507
403	343	506
404	343	504
405	344	503
406	344	501
407	345	500
408	345	499
409	346	498
410	346	496
411	347	495
412	347	494
413	348	492
414	348	491
415	349	490
416	349	488
417	350	487
418	350	486
419	351	484
420	351	483
421	351	482
422	352	480
423	352	479
424	353	478
425	353	476
426	354	475
427	354	474
428	355	473
429	355	471
430	356	470
431	356	469
432	357	467
433	357	466
434	358	465
435	358	463
436	358	462
437	359	461
438	360	460
439	360	458
440	360	457
441	361	456
442	361	454
443	362	453
444	362	452
445	363	451
446	363	449
447	364	448
448	364	447
449	364	445
450	365	444
451	365	443
452	366	442
453	366	441
454	367	439
455	367	438
456	368	437
457	368	436
458	368	434
459	369	433
460	369	432
461	370	431
462	370	430
463	371	429
464	371	427
465	372	426
466	373	425
467	373	424
468	374	423
469	374	422
470	375	421
471	375	420
472	376	419
473	376	417
474	377	416
475	377	415
476	378	414
477	378	413
478	379	412
479	379	411
480	380	410
481	380	409
482	381	408
483	382	407
484	382	406
485	383	405
486	383	404
487	384	402
488	384	401
489	385	400
490	385	399
491	386	398
492	386	397
493	387	396
494	387	395
495	388	394
496	388	393
497	389	392
498	389	391
499	390	390
500	390	389
501	391	388
502	391	387
503	392	386
504	392	385
505	393	383
506	393	382
507	394	381
508	394	380
509	395	379
510	395	378
511	396	377
512	396	376
513	397	375
514	397	374
515	398	373
516	398	372
517	399	371
518	399	370
519	400	369
520	400	368
521	401	367
522	401	366
523	402	365
524	403	364
525	403	363
526	404	362
527	404	362
528	405	361
529	406	360
530	406	359
531	407	358
532	408	357
533	408	356
534	409	355
535	410	355
536	410	354
537	411	353
538	412	352
539	412	351
540	413	350
541	413	349
542	414	348
543	414	347
544	415	346
545	415	345
546	416	344
547	416	343
548	417	342
549	417	341
550	418	340
551	418	339
552	419	338
553	419	337
554	420	337
555	420	336
556	421	335
557	421	334
558	422	333
559	422	332
560	423	331
561	423	330
562	424	329
563	424	328
564	425	327
565	425	326
566	426	325
567	426	324
568	427	323
569	427	322
570	428	321
571	428	320
572	429	319
573	429	319
574	430	318
575	430	317
576	431	316
577	432	315
578	432	314
579	433	313
580	433	312
581	434	311
582	434	310
583	435	309
584	435	309
585	436	308
586	436	307
587	437	306
588	437	305
589	438	304
590	438	303
591	439	302
592	439	301
593	440	300
594	440	299
595	441	298
596	441	298
597	442	297
598	442	296
599	443	295
600	443	294
601	444	293
602	444	292
603	445	291
604	445	290
605	446	290
606	446	289
607	447	288
608	447	287
609	448	286
610	449	285
611	449	285
612	450	284
613	450	283
614	451	282
615	451	281
616	452	280
617	453	280
618	453	279
619	454	278
620	454	277
621	455	276
622	455	275
623	456	274
624	456	274
625	457	273
626	457	272
627	458	271
628	459	270
629	459	270
630	460	269
631	461	268
632	461	267
633	462	266
634	463	266
635	463	265
636	464	264
637	464	263
638	465	263
639	466	262
640	466	261
641	467	260
642	467	259
643	468	258
644	468	258
645	469	257
646	470	256
647	470	255
648	471	254
649	471	254
650	472	253
651	473	252
652	473	251
653	474	251
654	474	250
655	475	249
656	476	248
657	476	247
658	477	246
659	477	246
660	478	245
661	478	244
662	479	243
663	479	242
664	480	241
665	480	241
666	481	240
667	481	239
668	482	238
669	482	237
670	483	236
671	483	236
672	484	235
673	484	234
674	485	233
675	485	232
676	486	232
677	487	231
678	487	230
679	488	229
680	488	228
681	489	228
682	489	227
683	490	226
684	490	225
685	491	224
686	491	224
687	492	223
688	492	222
689	493	221
690	493	220
691	494	220
692	494	219
693	495	218
694	496	217
695	496	216
696	497	216
697	497	215
698	498	214
699	498	213
700	499	212
701	499	212
702	500	211
703	500	210
704	501	209
705	501	208
706	502	208
707	502	207
708	503	206
709	503	205
710	504	204
711	504	204
712	505	203
713	505	202
714	506	201
715	506	201
716	507	200
717	507	199
718	508	198
719	509	197
720	509	197
721	510	196
722	510	195
723	511	194
724	511	194
725	512	193
726	512	192
727	513	191
728	513	190
729	514	190
730	514	189
731	515	188
732	515	187
733	516	187
734	516	186
735	517	185
736	517	184
737	518	184
738	518	183
739	519	182
740	519	181
741	520	180
742	520	180
743	521	179
744	521	178
745	522	177
746	522	177
747	523	176
748	524	175
749	524	174
750	525	174
751	525	173
752	526	172
753	526	171
754	527	171
755	527	170
756	528	169
757	528	168
758	529	168
759	529	167
760	530	166
761	530	165
762	531	165
763	531	164
764	532	163
765	532	162
766	533	162
767	533	161
768	534	160
769	534	159
770	535	158
771	535	158
772	536	157
773	536	156
774	537	156
775	538	155
776	538	154
777	539	153
778	539	153
779	540	152
780	540	151
781	541	150
782	541	150
783	542	149
784	543	148
785	543	148
786	544	147
787	544	146
788	545	145
789	546	145
790	546	144
791	547	143
792	547	142
793	548	142
794	548	141
795	549	140
796	550	140
797	550	139
798	551	138
799	551	137
800	552	137
801	553	136
802	553	135
803	554	135
804	554	134
805	555	133
806	556	133
807	556	132
808	557	131
809	557	130
810	558	130
811	559	129
812	559	128
813	560	128
814	560	127
815	561	126
816	562	125
817	562	125
818	563	124
819	563	123
820	564	122
821	564	122
822	565	121
823	565	120
824	566	120
825	566	119
826	567	118
827	567	117
828	568	117
829	568	116
830	569	115
831	569	115
832	570	114
833	570	113
834	571	112
835	572	112
836	572	111
837	573	110
838	573	110
839	574	109
840	574	108
841	575	107
842	576	107
843	576	106
844	577	105
845	577	105
846	578	104
847	578	103
848	579	103
849	579	102
850	580	101
851	580	100
852	581	100
853	581	99
854	582	98
855	582	98
856	583	97
857	583	96
858	584	95
859	584	95
860	585	94
861	586	93
862	586	93
863	587	92
864	587	91
865	588	91
866	588	90
867	589	89
868	589	88
869	590	88
870	590	87
871	591	86
872	591	86
873	592	85
874	592	84
875	593	83
876	593	83
877	594	82
878	594	81
879	595	81
880	595	80
881	596	79
882	596	79
883	597	78
884	597	77
885	598	76
886	598	76
887	599	75
888	600	74
889	600	74
890	601	73
891	601	72
892	602	72
893	602	71
894	602	70
895	603	70
896	604	69
897	604	68
898	605	67
899	605	67
900	606	66
901	606	65
902	607	65
903	607	64
904	608	63
905	608	63
906	609	62
907	609	61
908	610	61
909	610	60
910	611	59
911	611	59
912	612	58
913	612	57
914	613	56
915	613	56
916	614	55
917	615	54
918	615	54
919	616	53
920	616	52
921	617	52
922	617	51
923	617	50
924	618	50
925	618	49
926	619	48
927	620	48
928	620	47
929	621	46
930	621	46
931	622	45
932	622	44
933	623	44
934	623	43
935	624	42
936	624	42
937	625	41
938	625	40
939	626	39
940	626	39
941	627	38
942	627	37
943	628	37
944	628	36
945	629	35
946	629	35
947	630	34
948	630	33
949	631	33
950	631	32
951	632	31
952	632	31
953	633	30
954	633	29
955	633	29
956	634	28
957	634	27
958	635	27
959	635	26
960	636	25
961	636	25
962	637	24
963	637	23
964	638	23
965	638	22
966	638	21
967	639	21
968	639	20
969	640	19
970	640	19
971	640	18
972	641	17
973	641	17
974	642	16
975	642	15
976	643	15
977	643	14
978	644	13
979	644	13
980	645	12
981	645	11
982	646	11
983	646	10
984	646	9
985	647	9
986	647	8
987	648	7
988	648	7
989	649	6
990	649	5
991	650	5
992	650	4
993	651	3
994	651	3
995	651	2
996	652	1
997	652	1
998	653	0
999	653	0
